coast_rec,oper,att_w_US,const_st,wf_rec,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,extract_r_ins,loss_r_ins,decade_r_mor,comm_rel,wild_rel,clean_inst,tech_r,iden_rel,kin_rel,right_r_mor,health_rel,other_rel,kin_met,resp_met,iden_met,other_met,mean_nep,mean_rel,mean_met,mean_inst,mean_mor
1,2,1,2,3,5,4,5,4,4,4,5,4,4,4,5,3,4,4,5,2,4,2,2,3,1,4.4,3.67,2,3.33,2.5
1,2,3,2,3,3,3,3,3,3,3,3,3,4,2,4,2,3,4,3,4,3,3,3,4,2,3,3.33,3,3.33,3
0,2,2,2,3,5,4,5,5,5,3,4,4,4,4,5,3,4,4,5,1,5,3,3,3,1,4.8,3.67,2.5,3.33,2.5
1,1,2,2,3,4,4,4,5,3,2,4,4,5,3,5,2,3,3,5,1,5,3,2,4,1,4,3.33,2.5,3,2.5
0,1,1,2,2,5,1,4,5,3,2,5,5,4,3,5,3,5,5,5,1,5,1,1,1,1,3.6,3.83,1,2.67,3
0,1,1,2,2,4,2,3,3,3,2,2,2,4,3,3,2,3,4,2,4,4,2,2,1,3,3,3.67,2,3,3
1,1,2,2,3,4,3,2,2,2,2,5,4,3,2,5,3,3,4,4,2,4,5,1,5,2,2.6,3,3.25,2.67,3
1,1,2,2,2,4,4,3,4,4,2,3,3,3,2,5,2,3,4,3,2,5,3,3,5,1,3.8,3.17,3,3.33,3
0,1,4,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,3,5,5,5,5,2,2.5,5,3.33,3
0,1,2,2,3,5,4,4,5,4,2,2,4,4,2,5,3,4,5,4,1,5,4,1,2,1,4.4,3.5,2,3.67,3
1,1,3,2,3,4,3,3,4,4,3,3,3,4,3,4,3,3,4,3,3,4,3,3,3,3,3.6,3.5,3,3.33,3
0,1,2,2,3,4,4,4,2,5,2,5,4,4,4,4,3,4,4,4,2,4,3,3,4,2,3.8,3.67,3,2.33,3
1,1,2,2,4,4,2,3,4,3,2,2,2,2,4,4,2,2,2,4,3,3,2,3,3,4,3.2,2.67,3,3.33,2
0,1,3,2,3,2,2,2,2,1,2,2,2,3,2,4,2,3,3,2,3,4,4,3,5,3,1.8,3,3.75,3.33,3
1,1,1,2,3,4,4,5,5,4,4,5,5,4,4,5,2,4,5,5,1,5,3,2,3,2,4.4,3.83,2.5,3.33,3
0,1,2,2,2,4,2,3,2,3,3,2,4,3,3,5,2,3,2,2,4,4,4,3,4,3,2.8,3.17,3.5,4,4
0,1,1,2,2,2,4,4,3,4,2,4,3,4,3,4,3,4,3,2,2,5,4,3,4,2,3.4,3.5,3.25,2.67,3.5
1,1,3,2,2,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2,4,2,,3,3,4,3.5,2.67,3.33,3
1,1,2,2,3,4,4,4,4,3,2,4,3,2,2,4,2,3,2,2,3,4,5,4,5,2,3.8,2.67,4,2.67,3.5
0,1,2,2,3,5,4,5,5,5,4,5,5,5,5,5,3,5,5,5,1,5,1,1,2,2,4.8,4.33,1.5,3.33,3
0,1,3,2,2,4,5,4,3,2,2,5,5,4,4,5,3,4,5,4,2,4,1,1,3,1,3.6,3.83,1.5,2.67,3.5
1,1,2,2,3,5,5,5,4,4,4,5,5,4,4,5,2,3,4,5,3,5,3,1,2,2,4.6,3.83,2,3.33,3
1,1,1,2,1,3,4,3,3,3,2,2,2,2,4,4,1,3,2,1,3,4,4,2,4,2,3.2,3,3,3.33,3.5
0,1,2,2,3,3,3,3,4,3,2,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3.2,3.17,3,3,3
0,1,2,2,3,4,3,3,4,3,3,2,2,5,3,4,3,3,4,3,4,4,3,3,3,3,3.4,3.83,3,3.67,2.5
0,1,2,2,3,4,5,5,5,5,2,5,5,4,4,5,4,5,5,5,2,5,1,1,1,1,4.8,4.17,1,2.67,3
0,1,2,2,3,3,3,2,4,3,2,2,2,4,2,5,1,3,4,4,3,4,3,2,3,3,3,3.33,2.75,3.67,2
0,1,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3.2,3,2.75,3,3
1,1,2,2,2,5,4,5,4,5,5,1,5,4,4,5,3,4,3,4,1,5,3,3,3,2,4.6,3.5,2.75,5,3.5
1,1,3,2,3,3,3,2,3,2,4,4,2,4,2,4,2,3,4,2,4,4,3,3,4,1,2.6,3.5,2.75,3.33,3
0,1,2,2,3,5,4,4,4,5,3,5,4,4,2,5,3,4,4,3,4,4,4,3,5,1,4.4,3.67,3.25,3,3.5
1,1,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,4,5,5,5,4,2,2.5,4.75,3,3
1,1,1,2,3,5,4,3,3,4,3,4,4,4,4,4,2,2,3,4,3,4,4,3,5,4,3.8,3.33,4,3,3
0,1,2,2,3,5,5,1,5,5,5,5,5,3,4,5,2,4,5,4,3,5,3,1,3,4,4.2,4,2.75,3.67,3.5
1,1,2,2,3,2,3,4,2,2,2,2,2,4,2,4,4,3,4,2,2,4,4,3,4,3,2.6,3.17,3.5,3.33,3
0,1,2,2,3,3,2,4,5,5,2,4,3,4,3,4,2,4,4,3,3,5,2,3,4,3,3.8,3.83,3,2.67,3
0,1,1,2,3,4,4,3,4,4,2,2,3,4,4,5,3,4,3,4,2,4,4,2,4,2,3.8,3.5,3,3.67,2.5
0,1,1,2,3,5,5,5,4,5,3,3,3,4,4,4,2,4,5,4,2,4,3,2,3,2,4.8,3.83,2.5,3.33,2.5
1,1,2,2,3,4,4,4,2,4,3,4,4,3,2,5,2,3,2,4,3,4,4,2,2,2,3.6,2.83,2.5,3.33,3
0,1,2,2,3,4,4,4,5,4,2,3,3,4,4,5,3,4,3,4,2,5,3,1,2,1,4.2,3.67,1.75,3.33,2.5
0,1,2,2,3,4,4,4,5,4,3,4,5,4,3,5,2,4,4,5,2,5,3,3,3,2,4.2,3.67,2.75,3.33,3
0,1,1,2,3,5,5,5,4,5,4,4,5,4,4,5,2,5,5,5,2,5,2,1,3,2,4.8,4.17,2,3.67,3
1,1,2,2,3,4,2,3,2,4,2,2,2,4,4,4,2,4,4,2,4,4,1,3,3,3,3,4,2.5,3.33,3
1,1,2,2,3,5,4,4,4,4,3,3,3,4,4,5,2,4,4,4,2,4,3,2,3,2,4.2,3.67,2.5,3.67,2.5
1,1,2,2,3,4,3,4,4,5,3,4,4,4,4,5,2,4,4,4,2,4,3,2,3,2,4,3.67,2.5,3.33,3
0,1,2,2,3,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,2,1,3,1,5,5,1.75,3.67,3
0,1,1,2,3,4,4,3,4,4,2,3,5,5,4,5,3,4,5,5,4,4,4,2,5,2,3.8,4.33,3.25,3.33,3
0,1,2,2,3,5,5,5,4,5,4,4,5,4,4,5,3,4,5,5,2,4,2,1,3,1,4.8,3.83,1.75,3.67,3
1,1,2,2,3,4,4,5,4,4,4,5,5,5,4,5,2,5,5,5,2,5,1,1,1,2,4.2,4.33,1.25,3.33,3
1,1,1,2,3,5,5,5,5,3,2,3,4,4,3,5,3,4,4,5,1,5,2,2,3,1,4.6,3.5,2,3.33,2.5
1,1,1,2,3,4,4,3,4,4,3,4,3,3,3,4,3,2,3,3,3,3,4,4,4,3,3.8,2.83,3.75,3,3
1,1,1,2,3,4,5,5,5,4,4,5,5,5,5,5,2,4,4,5,1,5,1,1,3,2,4.6,4,1.75,3.33,3
1,1,2,2,3,4,5,4,3,4,3,4,5,5,4,5,3,3,3,4,3,4,4,3,4,2,4,3.67,3.25,3.33,3.5
0,1,2,2,2,3,3,2,4,1,2,4,3,4,3,4,3,4,4,3,2,4,3,3,5,3,2.6,3.5,3.5,2.67,3
0,1,2,2,3,3,2,3,2,2,3,4,3,4,2,4,4,2,4,2,3,4,4,5,5,3,2.4,3.17,4.25,3,3.5
0,1,1,2,3,4,3,4,4,4,3,4,5,4,4,5,3,4,3,4,2,5,3,2,4,2,3.8,3.67,2.75,3.33,3.5
0,1,1,2,3,5,4,5,5,5,5,4,5,4,4,5,2,4,4,4,2,5,3,1,2,2,4.8,3.83,2,4,3.5
0,1,2,2,4,4,2,4,3,2,2,3,2,4,2,4,2,3,4,2,4,2,4,3,2,4,3,3.17,3.25,3,3
1,1,2,2,3,5,4,5,3,4,3,4,3,5,3,5,2,4,4,4,2,5,2,2,3,2,4.2,3.83,2.25,3.33,2.5
0,1,2,2,4,4,4,3,2,4,3,3,3,2,3,4,3,4,4,3,2,2,3,3,2,3,3.4,2.83,2.75,3.33,3
1,1,1,2,2,4,5,4,4,3,2,5,5,5,1,5,2,3,4,4,1,4,2,3,4,1,4,3,2.5,2.67,3.5
1,1,2,2,2,4,4,5,4,4,3,4,3,4,4,5,2,4,4,4,2,4,3,2,3,2,4.2,3.67,2.5,3.33,2.5
1,1,2,2,3,3,3,4,3,3,3,4,4,3,2,4,3,2,2,3,1,4,4,4,5,2,3.2,2.33,3.75,3,3.5
1,2,2,1,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,2,4,2,2,3,1,4,3.67,2,3,3
1,2,1,1,3,4,3,3,4,3,2,4,3,4,3,4,3,2,3,2,4,4,4,3,5,3,3.4,3.33,3.75,2.67,3.5
1,2,2,1,3,4,3,4,3,4,3,3,4,4,3,5,3,4,3,4,4,4,2,2,2,3,3.6,3.67,2.25,3.67,3
1,2,1,1,4,5,4,5,3,4,4,4,5,4,4,5,1,4,3,5,2,5,2,2,4,2,4.2,3.67,2.5,3.67,3
0,2,1,1,3,4,5,5,4,5,4,5,5,5,3,5,3,4,4,5,2,4,3,2,3,1,4.6,3.67,2.25,3.33,3
0,2,2,1,4,4,4,5,4,4,4,3,4,4,3,5,4,4,4,4,2,4,3,2,5,1,4.2,3.5,2.75,4,3
0,2,1,1,3,3,4,4,3,3,2,3,3,4,4,4,3,2,4,4,2,4,4,3,4,2,3.4,3.33,3.25,3,2.5
0,2,1,1,3,5,4,4,4,4,4,5,5,4,5,5,2,5,5,4,2,3,2,1,3,2,4.2,4,2,3.33,3.5
0,2,1,1,1,4,4,4,4,4,3,4,4,4,4,5,2,4,4,4,3,5,3,1,3,1,4,4,2,3.33,3
1,2,1,1,3,5,5,5,4,5,3,5,5,4,5,5,2,5,5,5,1,5,1,1,1,1,4.8,4.17,1,3,3
0,2,2,1,4,4,4,4,4,3,3,4,5,4,4,5,4,5,5,4,2,4,1,1,3,1,3.8,4,1.5,3.33,3.5
0,2,1,1,3,4,3,4,4,3,3,3,2,4,3,4,5,3,3,2,2,4,4,4,5,3,3.6,3.17,4,3.33,3
0,2,1,1,3,4,3,4,4,5,4,3,4,5,4,5,3,3,4,4,4,4,4,2,4,2,4,4,3,4,3
1,2,1,1,3,5,4,4,4,5,2,4,4,4,3,5,2,4,4,4,2,4,2,2,2,1,4.4,3.5,1.75,3,3
0,2,1,1,1,4,2,2,4,3,2,3,2,4,4,4,2,4,3,3,3,4,1,1,1,1,3,3.67,1,3,2.5
1,2,2,1,3,4,3,4,4,3,2,3,3,3,1,4,4,1,2,3,2,4,5,5,5,5,3.6,2.17,5,3,3
0,2,1,1,3,4,4,5,4,4,3,4,5,4,4,5,2,5,5,5,2,5,3,1,3,2,4.2,4.17,2.25,3.33,3
1,2,1,1,2,4,5,5,4,3,2,5,4,4,5,5,4,3,2,5,2,4,4,1,5,2,4.2,3.33,3,2.67,2.5
0,2,1,1,3,5,4,5,5,5,3,5,5,5,4,5,2,5,5,4,1,5,1,1,1,1,4.8,4.17,1,3,3.5
0,2,1,1,4,4,4,4,3,4,3,4,3,4,4,5,4,4,5,4,2,4,2,2,3,3,3.8,3.83,2.5,3.33,2.5
0,2,2,1,3,4,3,5,4,5,2,2,5,4,4,5,1,4,3,5,2,5,4,2,4,2,4.2,3.67,3,3.67,3
1,2,1,1,3,5,4,4,4,4,2,5,5,4,5,5,3,5,5,5,2,5,3,1,3,1,4.2,4.33,2,2.67,3
0,2,1,1,3,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,2,5,1,1,2,1,5,4.5,1.25,3.67,3
0,2,1,1,4,5,4,5,5,5,2,3,2,3,3,5,3,4,3,1,2,5,4,3,4,2,4.8,3.33,3.25,3.33,3.5
1,2,1,1,3,5,5,5,2,4,2,5,5,4,4,5,4,4,5,5,2,5,2,1,4,4,4.2,4,2.75,2.67,3
1,2,1,1,3,4,4,3,4,4,4,4,4,4,4,5,2,4,5,4,2,4,1,1,2,1,3.8,3.83,1.25,3.67,3
0,2,1,1,5,5,5,5,5,5,4,5,5,5,1,5,3,5,5,5,1,5,1,1,1,1,5,3.67,1,3.33,3
1,2,2,1,2,4,1,2,4,4,2,2,2,4,4,4,1,2,3,1,2,4,1,1,1,2,3,3.17,1.25,3.33,3.5
1,2,3,1,2,1,5,2,2,2,1,2,4,4,5,2,2,3,5,3,1,3,2,3,5,2,2.4,3.5,3,2.33,3.5
1,2,2,1,3,5,4,4,4,4,4,4,4,4,4,5,3,4,5,4,2,4,1,1,1,1,4.2,3.83,1,3.67,3
0,2,1,1,3,5,4,5,5,5,4,5,5,2,3,5,3,3,4,5,2,5,4,1,5,1,4.8,3.17,2.75,3.33,3
1,2,1,1,3,4,5,5,4,4,4,4,5,5,4,5,2,4,4,5,2,5,2,1,2,2,4.4,4,1.75,3.67,3
0,2,1,1,3,4,3,4,3,4,3,3,4,3,2,5,3,3,3,4,2,4,4,3,4,1,3.6,2.83,3,3.67,3
0,2,1,1,2,5,5,5,2,5,3,4,4,5,5,5,2,4,4,4,2,5,1,1,4,2,4.4,4.17,2,3.33,3
1,2,1,1,3,5,4,4,5,4,3,4,4,4,4,5,3,5,4,5,2,5,3,1,4,1,4.4,4,2.25,3.33,2.5
0,2,3,1,3,4,3,2,4,3,2,2,2,4,4,4,1,2,3,3,4,4,3,4,5,3,3.2,3.5,3.75,3.33,2.5
0,2,2,1,3,5,4,2,5,3,1,4,4,3,4,5,2,5,3,5,5,1,1,2,3,3,3.8,3.5,2.25,2.67,2.5
0,2,2,1,3,4,4,4,4,4,4,4,3,4,4,5,4,5,5,4,2,5,1,1,3,2,4,4.17,1.75,3.67,2.5
0,2,1,1,3,5,1,4,5,5,3,2,5,4,5,5,1,5,5,4,2,5,1,1,1,1,4,4.33,1,4,3.5
1,2,2,1,3,4,3,3,4,3,2,4,4,3,2,4,3,2,2,3,4,4,4,3,5,3,3.4,2.83,3.75,2.67,3.5
0,2,2,1,3,5,4,3,5,4,3,4,4,4,4,5,4,5,4,5,3,5,1,1,2,1,4.2,4.17,1.25,3.33,2.5
0,2,1,1,3,4,4,2,2,2,2,2,2,2,2,4,2,1,1,2,4,4,5,5,5,3,2.8,2.33,4.5,3.33,3
0,2,1,1,5,5,4,5,4,4,2,4,4,5,5,5,1,4,3,4,1,4,3,2,3,1,4.4,3.67,2.25,3,3
1,2,1,1,3,5,5,4,5,4,5,5,5,3,3,5,2,5,5,5,3,5,2,3,3,1,4.6,4,2.25,3.67,3
0,2,1,1,3,5,5,4,5,4,1,5,5,5,5,5,1,5,5,5,1,5,1,1,1,1,4.6,4.33,1,2.33,3
0,2,1,1,3,4,4,4,4,3,2,4,3,4,4,4,2,4,4,3,4,4,2,2,2,3,3.8,4,2.25,2.67,3
0,2,1,1,3,3,3,3,3,3,3,3,3,5,4,5,1,4,5,3,2,5,1,1,3,1,3,4.17,1.5,3.67,3
1,2,2,1,3,4,4,4,4,3,2,3,4,3,4,4,4,3,4,4,4,4,4,3,4,3,3.8,3.67,3.5,3,3
1,2,1,1,3,4,3,4,3,4,3,4,4,4,5,5,4,4,5,4,2,5,3,2,4,2,3.6,4.17,2.75,3.33,3
0,2,1,1,3,2,3,4,2,3,2,3,2,3,2,4,2,4,2,1,3,2,5,3,5,5,2.8,2.67,4.5,3,3.5
1,2,2,1,3,3,3,3,4,3,2,2,3,4,4,4,2,4,4,4,2,4,3,2,3,3,3.2,3.67,2.75,3.33,2.5
1,2,2,1,3,5,5,5,5,4,3,4,4,4,4,4,3,5,4,5,2,5,2,2,3,1,4.8,4,2,3,2.5
0,2,1,1,3,4,4,4,4,4,3,5,4,3,4,5,3,5,5,5,2,4,2,1,3,2,4,3.83,2,3,2.5
0,1,1,1,3,5,4,5,5,4,2,4,4,4,4,5,2,5,5,4,2,5,2,2,2,1,4.6,4.17,1.75,3,3
0,1,2,1,3,5,5,5,5,5,2,,5,4,4,5,3,4,5,5,2,5,2,2,2,1,5,4,1.75,3.5,3
1,1,1,1,3,5,5,5,5,4,4,4,4,4,4,5,2,4,4,4,2,4,2,2,2,2,4.8,3.67,2,3.67,3
1,1,1,1,3,4,4,5,5,3,4,3,3,3,4,5,2,2,3,4,4,4,3,3,5,3,4.2,3.33,3.5,4,2.5
1,1,1,1,3,5,5,5,5,5,4,5,5,5,4,5,3,5,5,5,5,5,1,1,1,1,5,4.83,1,3.33,3
0,1,2,1,3,4,4,4,3,4,3,4,4,4,4,4,3,4,,,2,4,3,3,4,2,3.8,3.6,3,3,4
0,1,1,1,3,5,4,4,4,3,2,4,4,4,4,5,2,4,5,4,2,4,2,2,3,2,4,3.83,2.25,3,3
0,1,1,1,3,5,4,5,4,4,2,4,3,4,2,5,4,2,2,4,3,4,5,3,5,2,4.4,2.83,3.75,3,2.5
0,1,1,1,3,5,5,4,4,4,3,4,5,4,2,5,4,3,4,5,1,4,4,3,4,2,4.4,3,3.25,3.33,3
1,1,1,1,3,5,4,5,5,4,3,1,5,3,4,5,3,4,3,5,2,5,4,3,5,1,4.6,3.5,3.25,4.33,3
0,1,1,1,3,4,4,4,4,5,2,4,3,4,4,5,3,4,4,4,4,4,2,2,3,2,4.2,4,2.25,3,2.5
1,1,1,1,4,3,3,2,3,2,3,4,3,4,4,4,3,4,2,3,4,4,2,3,3,3,2.6,3.67,2.75,3,3
0,1,1,1,3,4,3,2,4,3,2,3,3,4,4,5,2,3,4,3,2,4,3,2,2,2,3.2,3.5,2.25,3.33,3
1,1,1,1,5,5,4,4,4,4,4,4,4,4,4,5,2,4,4,4,2,5,2,1,2,1,4.2,3.83,1.5,3.67,3
1,1,1,1,5,5,5,5,5,5,4,5,5,5,5,5,2,5,5,5,1,5,1,1,1,1,5,4.33,1,3.33,3
0,1,1,1,3,5,4,5,4,4,3,5,5,4,4,5,2,4,5,5,2,5,1,1,2,1,4.4,4,1.25,3,3
0,1,1,1,3,5,4,5,3,4,2,3,5,4,4,5,1,4,4,5,2,5,4,2,4,1,4.2,3.83,2.75,3.33,3
1,1,1,1,3,3,5,4,4,3,3,4,4,3,4,5,3,4,4,3,2,5,3,3,4,2,3.8,3.67,3,3.33,3.5
0,1,1,1,3,5,5,5,5,5,4,5,5,5,3,5,4,4,4,5,2,5,3,1,4,2,5,3.83,2.5,3.33,3
0,1,1,1,3,4,4,4,4,4,3,5,4,4,4,5,3,5,5,5,3,4,1,2,2,1,4,4.17,1.5,3,2.5
0,1,2,1,3,5,4,5,2,4,3,4,5,4,4,4,2,4,4,4,3,4,3,3,4,2,4,3.83,3,3,3.5
1,1,1,1,3,4,2,3,2,3,1,5,4,5,5,5,2,5,5,5,2,5,2,1,3,2,2.8,4.5,2,2.33,2.5
0,1,1,1,3,5,4,5,2,4,2,4,4,4,4,5,3,4,4,5,1,5,2,2,4,1,4,3.67,2.25,3,2.5
0,1,2,1,3,4,4,4,4,5,3,4,3,4,3,5,3,3,4,4,4,4,3,2,3,2,4.2,3.67,2.5,3.33,2.5
0,1,1,1,4,5,5,5,5,5,2,5,4,5,5,5,1,5,4,5,3,5,1,1,1,1,5,4.5,1,2.67,2.5
0,1,1,1,3,3,2,2,3,3,3,4,2,5,4,5,3,4,5,2,3,5,1,1,1,2,2.6,4.33,1.25,3.33,3
0,1,1,1,3,5,4,5,4,5,3,5,5,3,5,5,2,4,5,5,3,5,3,1,3,1,4.6,4.17,2,3,3
1,1,1,1,3,5,5,5,5,5,2,1,4,4,4,5,2,5,5,5,1,5,1,1,1,4,5,4,1.75,4,2.5
0,1,1,1,3,5,4,4,5,5,4,4,4,5,4,5,3,4,5,4,2,5,2,2,3,1,4.6,4.17,2,3.67,3
1,1,1,1,4,4,3,4,4,4,3,4,4,4,4,5,1,4,4,4,4,4,2,2,2,1,3.8,4,1.75,3.33,3
0,1,2,1,3,5,5,5,4,4,2,5,4,4,2,5,3,3,4,5,1,5,4,1,5,3,4.6,3.17,3.25,2.67,2.5
0,1,1,1,4,5,2,3,4,3,2,4,4,5,4,5,1,5,5,4,3,5,1,1,1,1,3.4,4.5,1,3,3
1,1,1,1,2,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,1,5,2,1,2,1,5,4.17,1.5,3.67,3
0,1,1,1,3,5,4,5,5,5,2,4,4,5,4,4,2,4,5,4,2,4,3,2,4,2,4.8,4,2.75,2.67,3
0,1,1,1,3,5,3,4,4,5,4,3,4,4,4,5,2,5,4,5,1,4,2,1,1,1,4.2,3.67,1.25,4,2.5
1,1,1,1,3,4,5,3,3,4,2,3,2,4,3,5,2,3,4,5,4,3,3,3,2,4,3.8,3.5,3,3.33,1.5
0,1,1,1,3,3,4,2,4,2,3,4,2,2,2,5,3,2,2,3,5,4,5,3,4,3,3,2.83,3.75,3.33,2.5
0,1,1,1,3,3,3,3,5,5,3,3,3,3,3,3,3,3,4,3,,3,3,3,3,3,3.8,3.2,3,3,3
